number,contract_name,address,latitude,longitude,banking,"bonus, bike_stands",available_bike_stands,available_bikes,status,last_update
1,100,1550754956000,1,False,False,25,23,2,OPEN,Thursday,1324
1,24,1550755377000,1,False,False,20,16,4,OPEN,Thursday,1324
1,64,1550755374000,1,True,False,40,11,29,OPEN,Thursday,1324
1,109,1550754935000,1,False,False,29,28,1,OPEN,Thursday,1324
1,85,1550755286000,1,True,False,35,32,3,OPEN,Thursday,1324
1,107,1550755363000,1,True,False,40,39,1,OPEN,Thursday,1324
1,33,1550755361000,1,True,False,23,16,5,OPEN,Thursday,1324
1,44,1550755356000,1,False,False,30,30,0,OPEN,Thursday,1324
1,89,1550755126000,1,True,False,40,28,12,OPEN,Thursday,1324
1,57,1550755014000,1,False,False,23,4,19,OPEN,Thursday,1324
1,80,1550755030000,1,False,False,40,29,11,OPEN,Thursday,1324
1,41,1550755099000,1,False,False,20,15,5,OPEN,Thursday,1324
1,3,1550755241000,1,False,False,20,20,0,OPEN,Thursday,1324
1,46,1550755317000,1,True,False,35,16,4,OPEN,Thursday,1324
1,40,1550755218000,1,True,False,21,16,4,OPEN,Thursday,1324
1,29,1550755335000,1,True,False,29,25,4,OPEN,Thursday,1324
1,70,1550755369000,1,True,False,28,8,20,OPEN,Thursday,1324
1,103,1550755054000,1,False,False,40,37,3,OPEN,Thursday,1324
1,28,1550755307000,1,False,False,30,12,18,OPEN,Thursday,1324
1,39,1550755110000,1,True,False,20,18,2,OPEN,Thursday,1324
1,83,1550755248000,1,False,False,40,40,0,OPEN,Thursday,1324
1,92,1550754946000,1,False,False,40,40,0,OPEN,Thursday,1324
1,21,1550755139000,1,False,False,30,12,18,OPEN,Thursday,1324
1,88,1550755213000,1,False,False,30,30,0,OPEN,Thursday,1324
