96,Dublin,Kilmainham Lane,53.341805,-6.305085,False,False,30,30,0,OPEN,1550748229000
82,Dublin,Mount Brown,53.341645,-6.29719,False,False,22,22,0,OPEN,1550748427000
76,Dublin,Market Street South,53.342296,-6.287661,False,False,38,38,0,OPEN,1550748541000
71,Dublin,Kevin Street,53.337757,-6.267699,True,False,40,34,6,OPEN,1550748482000
79,Dublin,Eccles Street East,53.358115,-6.265601,False,False,27,14,13,OPEN,1550748004000
69,Dublin,Grand Canal Dock,53.342638,-6.238695,False,False,40,12,26,OPEN,1550748320000
25,Dublin,Merrion Square East,53.339434,-6.246548,False,False,30,7,23,OPEN,1550748463000
51,Dublin,York Street West,53.339334,-6.264699,False,False,40,20,20,OPEN,1550748399000
37,Dublin,St. Stephen's Green South,53.337494,-6.26199,True,False,30,19,10,OPEN,1550748113000
59,Dublin,Denmark Street Great,53.35561,-6.261397,False,False,20,19,1,OPEN,1550748505000
95,Dublin,Royal Hospital,53.343897,-6.29706,True,False,40,38,2,OPEN,1550748431000
94,Dublin,Heuston Station (Car Park),53.346985,-6.297804,False,False,40,40,0,OPEN,1550748192000
105,Dublin,Grangegorman Lower (North),53.355954,-6.278378,False,False,36,24,12,OPEN,1550747936000
36,Dublin,St. Stephen's Green East,53.337824,-6.256035,True,False,40,6,34,OPEN,1550748085000
93,Dublin,Heuston Station (Central),53.346603,-6.296924,False,False,40,40,0,OPEN,1550748270000
22,Dublin,Townsend Street,53.345922,-6.254614,False,False,20,16,4,OPEN,1550748197000
50,Dublin,George's Lane,53.35023,-6.279696,False,False,40,39,1,OPEN,1550748531000
110,Dublin,Phibsborough Road,53.356307,-6.273717,False,False,40,40,0,OPEN,1550748263000
12,Dublin,Eccles Street,53.359246,-6.269779,False,False,20,20,0,OPEN,1550748454000
34,Dublin,Portobello Harbour,53.330362,-6.265163,False,False,30,30,0,OPEN,1550748515000
78,Dublin,Mater Hospital,53.359967,-6.264828,False,False,40,40,0,OPEN,1550748084000
2,Dublin,Blessington Street,53.356769,-6.26814,True,False,20,20,0,OPEN,1550748485000
75,Dublin,James Street,53.343456,-6.287409,True,False,40,40,0,OPEN,1550748230000
111,Dublin,Mountjoy Square East,53.356717,-6.256359,True,False,40,39,1,OPEN,1550748193000
26,Dublin,Merrion Square West,53.339764,-6.251988,True,False,20,0,20,OPEN,1550748243000
65,Dublin,Convention Centre,53.34744,-6.238523,True,False,40,5,35,OPEN,1550748353000
15,Dublin,Hardwicke Street,53.355473,-6.264423,False,False,16,16,0,OPEN,1550748028000
86,Dublin,Parkgate Street,53.347972,-6.291804,True,False,38,38,0,OPEN,1550748042000
35,Dublin,Smithfield,53.347692,-6.278214,False,False,30,30,0,OPEN,1550747969000
10,Dublin,Dame Street,53.344007,-6.266802,True,False,16,8,8,OPEN,1550748428000
100,Dublin,Heuston Bridge (South),53.347106,-6.292041,False,False,25,23,2,OPEN,1550748457000
24,Dublin,Cathal Brugha Street,53.352149,-6.260533,False,False,20,14,6,OPEN,1550748417000
64,Dublin,Sandwith Street,53.345203,-6.247163,True,False,40,8,32,OPEN,1550748263000
109,Dublin,Buckingham Street Lower,53.353331,-6.249319,False,False,29,29,0,OPEN,1550748457000
85,Dublin,Rothe Abbey,53.338776,-6.30395,True,False,35,35,0,OPEN,1550748148000
107,Dublin,Charleville Road,53.359157,-6.281866,True,False,40,39,1,OPEN,1550748423000
33,Dublin,Princes Street / O'Connell Street,53.349013,-6.260311,True,False,23,20,1,OPEN,1550748542000
44,Dublin,Upper Sherrard Street,53.358437,-6.260641,False,False,30,30,0,OPEN,1550748157000
89,Dublin,Fitzwilliam Square East,53.335211,-6.2509,True,False,40,27,13,OPEN,1550748252000
57,Dublin,Grattan Street,53.339629,-6.243778,False,False,23,1,22,OPEN,1550748297000
80,Dublin,St James Hospital (Luas),53.341359,-6.292951,False,False,40,39,1,OPEN,1550748052000
41,Dublin,Harcourt Terrace,53.332763,-6.257942,False,False,20,10,10,OPEN,1550747992000
3,Dublin,Bolton Street,53.351182,-6.269859,False,False,20,18,2,OPEN,1550748449000
46,Dublin,Strand Street Great,53.347082,-6.264192,True,False,35,13,6,OPEN,1550748354000
40,Dublin,Jervis Street,53.3483,-6.266651,True,False,21,18,2,OPEN,1550748269000
29,Dublin,Ormond Quay Upper,53.346057,-6.268001,True,False,29,27,2,OPEN,1550748319000
70,Dublin,Barrow Street,53.341655,-6.236198,True,False,28,7,21,OPEN,1550748116000
103,Dublin,Grangegorman Lower (South),53.354663,-6.278681,False,False,40,36,4,OPEN,1550747960000
28,Dublin,Mountjoy Square West,53.356299,-6.258586,False,False,30,25,5,OPEN,1550748430000
39,Dublin,Wilton Terrace,53.332383,-6.252717,True,False,20,20,0,OPEN,1550748536000
83,Dublin,Emmet Road,53.340714,-6.308191,False,False,40,40,0,OPEN,1550748242000
92,Dublin,Heuston Bridge (North),53.347802,-6.292432,False,False,40,40,0,OPEN,1550748328000
21,Dublin,Leinster Street South,53.34218,-6.254485,False,False,30,0,30,OPEN,1550748077000
88,Dublin,Blackhall Place,53.3488,-6.281637,False,False,30,29,1,OPEN,1550748196000
